topt,b2,d0,d1,d2,s,mu.opt,tmax,strain,evol.temp,evol.rep,ctmax,sharpness,inf.point,up.conc,upper.tail
25.57859922,0.011181624,3.589980371,0.000127821,0.284947253,0.044290484,0.989887257,33.10049414,16_1,16,1,33.10051588,0.014585195,13.74977498,0.000439531,7.521916656
26.049146,0.025274195,0.928094636,1.39E-05,0.356432822,0.069745897,1.02806526,32.62944533,16_1,16,1,32.63506157,0.017671097,18.05940594,0.000836802,6.585915568
25.58930201,0.093402996,0.024185753,0.011231356,0.179909521,0.050436742,1.014555578,33.10278433,16_1,16,1,33.10278732,0.01744774,18.01260126,0.002200137,7.513485306
25.77741826,0.016272519,2.21606042,7.11E-05,0.304225252,0.041930867,0.987889636,32.90979781,16_1,16,1,32.90796491,0.015861574,15.60756076,0.000609129,7.130546654
25.99655827,0.0413995,0.323327427,5.84E-05,0.313890599,0.037297484,1.02152507,32.80205218,16_1,16,1,32.80200417,0.017485273,18.56345635,0.00124539,6.805445897
26.42951854,0.064186754,0.068814217,0.000135808,0.292717068,0.040521476,1.038538453,32.92721334,16_1,16,1,32.92719565,0.020810994,19.79117912,0.001945329,6.497677106
26.09956227,0.031691149,0.637934782,2.35E-05,0.340297617,0.046639955,1.011913145,32.70716373,16_1,16,1,32.70506733,0.01776154,18.40864086,0.001016052,6.605505055
26.07274684,0.025332473,0.699428472,8.20E-06,0.368513935,0.045875581,0.955102811,32.69493386,16_1,16,1,32.69409968,0.015443596,18.27182718,0.000714704,6.621352842
25.76582583,0.017123673,1.779102542,4.45E-05,0.317284862,0.049198805,0.989429748,32.92031717,16_1,16,1,32.92291201,0.015042776,16.03960396,0.00058218,7.157086183
26.20031703,0.022161172,1.226379396,2.16E-05,0.339141951,0.055691333,1.00427503,32.96443054,16_1,16,1,32.96711808,0.016779106,17.5949595,0.000748847,6.766801048
25.90737852,0.020573701,1.317825262,2.35E-05,0.338255025,0.038721153,1.004849662,32.76487286,16_1,16,1,32.76230381,0.016154133,17.09450945,0.000683491,6.854925289
25.78244285,0.014468246,2.630276839,7.88E-05,0.300659619,0.037932024,0.996529199,32.98427505,16_1,16,1,32.98109783,0.015767372,15.18271827,0.000558354,7.198654982
25.47131955,0.080856338,0.009275461,0.004399216,0.197842185,0.051552278,0.973230971,33.09426671,16_1,16,1,33.09426905,0.015722331,17.82178218,0.001864595,7.622949502
26.02772381,0.019127119,1.763926941,4.06E-05,0.321532067,0.056101896,1.003269889,32.89258278,16_1,16,1,32.89191321,0.017011145,16.69486949,0.000708321,6.864189395
26.19378272,0.041481673,0.584635653,0.000103104,0.29917232,0.05048655,1.036600953,32.81637656,16_1,16,1,32.81638807,0.020111872,18.52745275,0.001476746,6.62260535
26.32005134,0.022461228,1.273953403,2.13E-05,0.3395248,0.04292771,1.01328947,33.01397506,16_1,16,1,33.01256788,0.017424667,17.75337534,0.000784953,6.692516542
25.38395606,0.108416958,0.040924514,0.073363141,0.146250912,0.064841459,1.007528269,33.18102445,16_1,16,1,33.18104595,0.016618348,17.47254725,0.002216561,7.797089895
26.28334371,0.026173777,1.307348584,3.17E-05,0.333394372,0.043910075,1.071602429,32.75014603,16_1,16,1,32.74929557,0.020747061,18.00180018,0.001056037,6.465951859
25.48234303,0.011943502,2.816979767,8.61E-05,0.295226472,0.066548655,0.961577735,33.06453857,16_1,16,1,33.06437667,0.013327155,14.16021602,0.000411261,7.582033637
25.85431808,0.020921539,1.270724903,2.32E-05,0.339372536,0.045025883,1.007763839,32.70696776,16_1,16,1,32.71264175,0.01621037,17.10531053,0.000692996,6.858323671
26.05636,0.027047493,0.827235885,2.81E-05,0.332637952,0.043689463,1.02051261,32.89955758,16_1,16,1,32.89648363,0.016592305,17.84338434,0.000865419,6.840123631
26.10957127,0.021338268,1.616567532,5.19E-05,0.31419919,0.047229529,0.984572471,32.92005757,16_1,16,1,32.92249688,0.017452179,16.92529253,0.000800862,6.812925606
25.53625321,0.054916773,0.219175147,0.000864918,0.236544226,0.043479744,0.982500094,33.04055708,16_1,16,1,33.04053342,0.015615058,17.49774977,0.00149858,7.504280213
26.02539686,0.021197255,1.526007319,3.00E-05,0.332714514,0.055471937,1.013119628,32.71310335,16_1,16,1,32.71464563,0.01792626,17.18811881,0.00078472,6.689248771
26.02502513,0.020362997,1.372282018,2.71E-05,0.331642706,0.060660507,0.952190273,32.87621404,16_1,16,1,32.87147388,0.015665432,17.06210621,0.000668057,6.846448753
25.44639124,0.076774446,0.063796287,0.002604239,0.214702421,0.06166145,1.039880336,32.74695809,16_1,16,1,32.74695857,0.018197683,17.9909991,0.002070491,7.300567335
26.43954425,0.02865481,0.907422085,2.74E-05,0.332382977,0.043138768,0.998047794,33.03883288,16_1,16,1,33.03719418,0.018143168,18.3690369,0.000984442,6.59764993
25.83754612,0.058677785,0.098845424,0.000503437,0.251259312,0.046581015,0.991321288,33.1493467,16_1,16,1,33.14934489,0.016065909,18.28622862,0.001547126,7.311798769
25.27905139,0.061762974,0.061293274,0.001552333,0.219733806,0.052719267,0.964814153,33.14341598,16_1,16,1,33.14339087,0.013922105,17.24572457,0.001450977,7.864339485
26.25223907,0.069025555,0.008322704,0.00015055,0.290984126,0.055158346,0.997477058,32.71625113,16_1,16,1,32.71625369,0.02021338,19.76957696,0.001958344,6.464014615
26.1661778,0.053567712,0.346642775,0.000307044,0.268081545,0.060546227,1.021668602,32.96551585,16_1,16,1,32.96551847,0.019657492,18.66066607,0.001756732,6.799340668
25.77737167,0.0181685,1.842496061,4.21E-05,0.322505756,0.047996877,1.035751359,32.73123326,16_1,16,1,32.72783047,0.01685759,16.32763276,0.000673357,6.950458801
26.12131555,0.022496445,1.228414337,2.27E-05,0.33884724,0.063132107,0.999542416,32.84785597,16_1,16,1,32.84893706,0.016985867,17.54815482,0.000766978,6.727621513
26.17123778,0.021341309,1.150333223,1.19E-05,0.356930087,0.054290285,0.984252567,32.84021244,16_1,16,1,32.83848805,0.016247154,17.77857786,0.000678977,6.667250272
26.71603514,0.035721773,0.405873298,3.15E-06,0.399980039,0.035911881,0.99690697,32.69067496,16_1,16,1,32.69175516,0.020059463,20.08280828,0.001116109,5.975720022
25.07985059,0.008412337,4.056591244,0.000190738,0.268832394,0.045986666,0.947545014,33.31639038,16_1,16,1,33.31634875,0.011317686,11.77677768,0.000282249,8.236498159
25.76861976,0.055928663,0.125828393,0.000197197,0.283274144,0.033300958,1.06027364,32.64195979,16_1,16,1,32.64195582,0.018786172,18.63186319,0.001670052,6.873336056
26.03429027,0.023346135,0.991117928,1.79E-05,0.345140261,0.056636624,0.974141701,32.80986018,16_1,16,1,32.81560238,0.015876618,17.66336634,0.000726535,6.781312106
26.42528736,0.065853005,0.048578067,0.000184408,0.282815798,0.034019773,1.021179273,33.03735908,16_1,16,1,33.03736022,0.019932824,19.70837084,0.001915227,6.612072857
25.59069575,0.064585188,0.043241595,0.000518735,0.255607048,0.04957688,1.020133042,32.69073329,16_1,16,1,32.6907041,0.017558376,18.39063906,0.001749681,7.100008351
26.00416012,0.017090517,1.951562414,5.01E-05,0.312597829,0.052343367,0.987595358,33.09121519,16_1,16,1,33.08847613,0.015699348,16.16921692,0.000613017,7.084316015
25.78962635,0.065637493,0.096064742,0.00062885,0.250500446,0.045622395,1.036135079,32.8166265,16_1,16,1,32.81663559,0.01861443,18.54545455,0.001884434,7.027009235
25.7818661,0.04757977,0.199976109,0.000166865,0.281814979,0.054153752,0.975072294,32.92297615,16_1,16,1,32.92297533,0.015757472,18.1890189,0.001291368,7.141109227
26.47213239,0.033703715,0.422150727,8.17E-06,0.369196001,0.036213986,1.006241688,32.88025367,16_1,16,1,32.88006916,0.017779834,19.33753375,0.001002871,6.407936773
25.74455206,0.061107837,0.126621531,0.000419132,0.262008982,0.049170404,1.044721774,32.71350765,16_1,16,1,32.71352538,0.018763997,18.49864986,0.001804163,6.96897332
25.91924643,0.019769831,1.513960841,3.25E-05,0.328560678,0.057648208,1.024674879,32.84855801,16_1,16,1,32.84411567,0.01646631,16.81728173,0.000691396,6.924869235
26.08170505,0.021686922,1.09292991,1.19E-05,0.357872335,0.062259242,0.998459072,32.77690611,16_1,16,1,32.77245764,0.016196058,17.74257426,0.000683772,6.690752591
26.23130656,0.025742707,0.952187156,2.00E-05,0.342044006,0.060756298,0.988322827,32.88641587,16_1,16,1,32.8824134,0.017059366,18.05220522,0.000842412,6.651106835
26.74762695,0.0533591,0.086814715,1.12E-05,0.363846548,0.042826193,1.007668761,32.76831259,16_1,16,1,32.76887228,0.021313165,20.56525653,0.001616153,6.02124533
26.08053756,0.019295508,1.662636239,3.52E-05,0.324699013,0.062708453,0.993772948,32.95064265,16_1,16,1,32.94557662,0.016623202,16.83528353,0.00069135,6.865039063
25.5050624,0.067576849,0.014869966,0.001544065,0.221343966,0.056657748,0.97937509,33.18058945,16_1,16,1,33.18061468,0.01487117,17.78937894,0.001600268,7.675552284
26.20594986,0.02366932,1.244710152,1.97E-05,0.34461813,0.062253123,0.982693315,32.70959817,16_1,16,1,32.7160299,0.018219841,17.86138614,0.000842676,6.510080038
26.13168812,0.027055637,0.591897956,5.78E-06,0.379948304,0.051907955,0.955668705,32.61584255,16_1,16,1,32.61480449,0.015893586,18.64626463,0.000754841,6.483116369
26.01420948,0.04460053,0.537665811,0.000251044,0.273122555,0.043588348,1.029192472,32.90639135,16_1,16,1,32.90640732,0.019076782,18.08460846,0.001536405,6.892197838
26.23254157,0.022878873,1.050963105,1.80E-05,0.343096422,0.055146511,0.9946865,33.03907545,16_1,16,1,33.03500633,0.016027287,17.7749775,0.000725916,6.802464761
26.08412402,0.021518671,1.366111724,2.71E-05,0.333365209,0.066442046,0.978788377,32.82730274,16_1,16,1,32.83010211,0.01683953,17.29612961,0.000744571,6.745978088
26.05690729,0.018618433,1.8975771,4.67E-05,0.317492916,0.047494514,1.036969127,32.98445975,16_1,16,1,32.98626611,0.017347887,16.56525653,0.000714739,6.929358823
25.70998305,0.066106008,0.013677836,0.000793516,0.239541763,0.057778228,0.970573406,33.09760579,16_1,16,1,33.09758806,0.015586654,18.28622862,0.001611939,7.387605011
25.78588025,0.013332061,2.607000783,7.59E-05,0.298271685,0.06013559,0.942459175,33.14543443,16_1,16,1,33.14819361,0.014120098,14.88028803,0.000471881,7.362313359
25.99539792,0.016276175,2.197082926,6.49E-05,0.305087919,0.038157581,1.006746496,33.15839682,16_1,16,1,33.1580998,0.015904182,15.84878488,0.000609934,7.162701877
25.79952882,0.054486644,0.186990366,0.0002065,0.281921204,0.049076843,1.055515875,32.64260036,16_1,16,1,32.64257549,0.019090256,18.57425743,0.001678224,6.843046675
25.84700315,0.057538254,0.236924148,0.000268711,0.275516522,0.042138883,1.023374855,32.54275118,16_1,16,1,32.54274911,0.019979043,18.66066607,0.001825137,6.695745955
25.86702676,0.018300798,1.813014536,3.91E-05,0.323598837,0.0535469,1.00471847,32.76780851,16_1,16,1,32.76603621,0.01668855,16.45724572,0.000668475,6.89900945
26.60505556,0.041374203,0.356086941,1.13E-05,0.363212969,0.04585589,1.020753795,32.74672711,16_1,16,1,32.74962164,0.020791153,19.8559856,0.001353935,6.144566084
26.34184885,0.027603983,1.061850837,1.87E-05,0.348330831,0.058292227,1.038825501,32.70277669,16_1,16,1,32.70078859,0.020167476,18.43744374,0.001033647,6.358939737
26.04545685,0.022088139,1.120388116,2.16E-05,0.338638549,0.040749388,0.972805456,32.89296422,16_1,16,1,32.89530064,0.015668868,17.42214221,0.000698357,6.849843791
26.36469678,0.020102407,1.455262764,9.05E-06,0.36656535,0.065605053,0.999571793,32.7873262,16_1,16,1,32.7888394,0.018103802,17.98379838,0.000708635,6.424142623
25.46570527,0.082012493,0.191446213,0.01314959,0.172472566,0.054485524,0.980666453,33.16796721,16_1,16,1,33.16796516,0.016577909,17.24932493,0.002048075,7.702259888
26.36014105,0.04725146,0.192221293,3.69E-05,0.326417919,0.051758436,0.99780344,32.90016568,16_1,16,1,32.89994517,0.018356583,19.43834383,0.001380447,6.539804119
26.17101782,0.028638105,0.608941934,1.35E-05,0.353744193,0.049249016,0.994007689,32.85729263,16_1,16,1,32.86063558,0.016280934,18.43744374,0.000846436,6.689617761
