date,ident,evol.temp,assay.temp,evol.rep,assay.rep,conc.N,gr.rate,errs,sds,comments
102415,248,16,31,4,2,5,0.15374,0.00307,0.00753,ok
102415,249,16,31,4,3,5,0.1864,0.00917,0.02247,ok
102415,250,16,31,4,3,10,0.27981,0.02554,0.06257,ok
102415,251,16,31,4,2,10,0.32055,0.02917,0.07144,ok
102415,252,16,31,4,3,10,0.25863,0.01677,0.04109,ok
102415,253,16,31,4,3,20,0.33268,0.0461,0.11292,ok
102415,254,16,31,4,2,20,0.29758,0.04404,0.10787,ok
102415,255,16,31,4,3,20,0.12797,0.01125,0.02756,ok
102415,256,16,31,4,3,40,0.55492,0.05148,0.1261,ok
102415,257,16,31,4,2,40,0.54372,0.06713,0.16444,ok
102415,258,16,31,4,3,40,0.52216,0.00094,0.0023,ok
102415,259,16,31,4,3,60,0.48391,0.03869,0.09477,ok
102415,260,16,31,4,2,60,0.50276,0.06392,0.15658,ok
102415,261,16,31,4,3,60,0.55116,0.02823,0.06916,ok
102415,262,16,31,4,3,90,0.45902,0.03174,0.07775,ok
102415,263,16,31,4,2,90,0.55238,0.04357,0.10671,ok
102415,264,16,31,4,3,90,0.54069,0.05866,0.14369,ok
102415,265,16,31,4,1,150,0.58742,0.0269,0.06589,ok
102415,266,16,31,4,2,150,0.68065,0.09457,0.23165,ok
102415,267,16,31,4,3,150,,,,bacteria
102415,268,16,31,4,3,882,0.64635,0.06834,0.1674,ok
102415,269,16,31,4,2,882,0.66345,0.03176,0.0778,ok
102415,270,16,31,4,3,882,0.63937,0.01072,0.02627,ok
111616,271,16,31,5,1,0,0.18166,0.00525,0.01286,ok
111616,272,16,31,5,2,0,0.10074,0.00664,0.01626,ok
111616,273,16,31,5,3,0,0.07819,0.00786,0.01926,ok
111616,274,16,31,5,1,2.5,0.23131,0.06555,0.16055,ok
111616,275,16,31,5,2,2.5,0.18051,0.02962,0.07254,ok
111616,276,16,31,5,3,2.5,0.09116,0.10077,0.24684,ok
111616,277,16,31,5,1,5,0.1183,0.00877,0.02148,ok
111616,278,16,31,5,2,5,0.19388,0.04651,0.11392,ok
111616,279,16,31,5,3,5,0.10747,0.01638,0.04013,ok
111616,280,16,31,5,1,10,0.08795,0.01227,0.03006,ok
111616,281,16,31,5,2,10,0.05624,0.01888,0.04626,ok
111616,282,16,31,5,3,10,,,,bacteria
111616,283,16,31,5,1,20,0.10855,0.01379,0.03378,ok
111616,284,16,31,5,2,20,0.09532,0.00778,0.01906,ok
111616,285,16,31,5,3,20,0.18975,0.05318,0.13026,ok
111616,286,16,31,5,1,40,,,,bacteria
111616,287,16,31,5,2,40,,,,bacteria
111616,288,16,31,5,3,40,,,,bacteria
111616,289,16,31,5,1,60,0.52351,0.03921,0.09604,ok
111616,290,16,31,5,2,60,0.51155,0.07902,0.19355,ok
111616,291,16,31,5,3,60,0.48539,0.02385,0.05842,ok
92716,292,16,31,5,1,90,0.69922,0.12319,0.30176,ok
92716,293,16,31,5,2,90,0.72524,0.07516,0.1841,ok
92716,294,16,31,5,3,90,0.70515,0.17034,0.41726,ok
92716,295,16,31,5,1,150,0.56879,0.07952,0.19479,ok
92716,296,16,31,5,2,150,0.73668,0.0951,0.23293,ok
92716,297,16,31,5,3,150,0.66731,0.09882,0.24205,ok
92716,298,16,31,5,1,882,0.72129,0.03586,0.08784,ok
92716,299,16,31,5,2,882,0.70756,0.01986,0.04864,ok
92716,300,16,31,5,3,882,0.74487,0.01692,0.04143,ok
92516,301,31,16,1,1,0,0.26053,0.03801,0.0931,ok
92516,302,31,16,1,2,0,0.30944,0.05167,0.12655,ok
92516,303,31,16,1,3,0,0.27031,0.03202,0.07842,ok
92516,304,31,16,1,1,2.5,0.3653,0.06339,0.15527,ok
92516,305,31,16,1,2,2.5,0.37213,0.06166,0.15104,ok
92516,306,31,16,1,3,2.5,0.30888,0.04567,0.11188,ok
92516,307,31,16,1,1,5,0.44365,0.14405,0.35284,ok
92516,308,31,16,1,2,5,0.31799,0.05759,0.14105,ok
92516,309,31,16,1,3,5,0.38505,0.03443,0.08433,ok
92516,310,31,16,1,1,10,0.5219,0.01179,0.02888,ok
92516,311,31,16,1,2,10,0.48342,0.05308,0.13003,ok
92516,312,31,16,1,3,10,0.5058,0.01716,0.04203,ok
92516,313,31,16,1,1,20,0.47327,0.02493,0.06108,ok
92516,314,31,16,1,2,20,0.51954,0.01258,0.03082,ok
92516,315,31,16,1,3,20,0.5058,0.04734,0.11595,ok
92516,316,31,16,1,1,40,0.6811,0.00696,0.01704,ok
92516,317,31,16,1,2,40,0.61698,0.01831,0.04486,ok
92516,318,31,16,1,3,40,0.53409,0.01144,0.02803,ok
92516,319,31,16,1,1,60,0.51574,0.01825,0.0447,ok
92516,320,31,16,1,2,60,0.60635,0.02348,0.05751,ok
92516,321,31,16,1,3,60,0.57166,0.00747,0.01829,ok
92516,322,31,16,1,1,90,0.7244,0.01621,0.0397,ok
